Id,name,node_type
6766,katedra za racunarstvo i informatiku,department
6767,matematicki fakultet,faculty
6768,2001,year_of_publishing
6769,2003,year_of_publishing
6770,2010,year_of_publishing
6771,2007,year_of_publishing
6772,2006,year_of_publishing
6773,2012,year_of_publishing
6774,2004,year_of_publishing
6775,2015,year_of_publishing
6776,2013,year_of_publishing
6777,2014,year_of_publishing
6778,2016,year_of_publishing
6779,2002,year_of_publishing
6780,2011,year_of_publishing
6781,2005,year_of_publishing
6782,1999,year_of_publishing
6783,2009,year_of_publishing
6784,2018,year_of_publishing
6785,2017,year_of_publishing
6786,1986,year_of_publishing
6787,2008,year_of_publishing
6788,1997,year_of_publishing
6789,katedra za racunarsku tehniku i informatiku,department
6790,elektrotehnicki fakultet,faculty
6791,1998,year_of_publishing
6792,2000,year_of_publishing
6793,1994,year_of_publishing
6794,1993,year_of_publishing
6795,1996,year_of_publishing
6796,1995,year_of_publishing
6797,1989,year_of_publishing
6798,1992,year_of_publishing
6799,katedra za informacione sisteme,department
6800,fakultet organizacionih nauka,faculty
6801,katedra za softversko inzenjerstvo,department
6802,1990,year_of_publishing
6803,katedra za informacione tehnologije,department
6804,1985,year_of_publishing
6805,1983,year_of_publishing
6806,1987,year_of_publishing
